return_id,order_id,product_id,return_reason,return_status,return_date
RET0000029,ORD0086965,PROD000034,Size Issue,approved,2023-11-03
RET0000030,ORD0088279,PROD003816,Wrong Item,refunded,2023-10-21
RET0000031,ORD0030944,PROD006086,Wrong Item,approved,2021-09-13
RET0000032,ORD0102448,PROD004871,Changed Mind,refunded,2022-11-16
RET0000033,ORD0033896,PROD003301,Size Issue,picked_up,2022-03-17
RET0000034,ORD0007111,PROD002301,Size Issue,requested,2023-09-24
RET0000035,ORD0048224,PROD006132,Late Delivery,requested,2023-10-15
RET0000036,ORD0119901,PROD001126,Wrong Item,approved,2023-08-16
RET0000037,ORD0109561,PROD002760,Wrong Item,requested,2023-04-24
RET0000038,ORD0006441,PROD002344,Changed Mind,requested,2021-04-09
RET0000039,ORD0096733,PROD003281,Wrong Item,requested,2021-04-19
RET0000040,ORD0058780,PROD005805,Damaged Item,requested,2022-01-06
RET0000041,ORD0076111,PROD006705,Quality Issue,picked_up,2021-04-13
RET0000042,ORD0062226,PROD004627,Quality Issue,approved,2022-04-03
RET0000043,ORD0028335,PROD005355,Changed Mind,refunded,2021-11-20
RET0000044,ORD0028453,PROD005444,Changed Mind,picked_up,2021-08-23
RET0000045,ORD0030268,PROD002802,Quality Issue,approved,2022-08-17
RET0000046,ORD0010965,PROD003612,Changed Mind,refunded,2022-02-17
RET0000047,ORD0060293,PROD003115,Damaged Item,refunded,2022-01-23
RET0000048,ORD0109565,PROD005835,Changed Mind,picked_up,2021-09-23
RET0000049,ORD0079250,PROD003907,Changed Mind,approved,2023-11-15
RET0000050,ORD0111507,PROD005815,Size Issue,requested,2022-01-19
RET0000051,ORD0066821,PROD000322,Late Delivery,refunded,2023-02-19
RET0000052,ORD0077049,PROD000234,Wrong Item,approved,2021-02-28
RET0000053,ORD0043222,PROD005820,Damaged Item,approved,2024-01-09
RET0000054,ORD0053302,PROD005833,Wrong Item,approved,2022-06-03
RET0000055,ORD0080814,PROD005492,Quality Issue,picked_up,2023-01-25
RET0000056,ORD0041429,PROD005540,Wrong Item,picked_up,2024-05-09
RET0000057,ORD0105407,PROD004611,Wrong Item,requested,2021-10-28
RET0000058,ORD0040576,PROD007251,Changed Mind,approved,2022-03-23
RET0000059,ORD0101152,PROD001161,Wrong Item,picked_up,2022-01-03
RET0000060,ORD0069463,PROD004806,Late Delivery,approved,2021-08-22
RET0000061,ORD0041908,PROD002081,Quality Issue,picked_up,2022-10-19
RET0000062,ORD0011501,PROD006342,Size Issue,requested,2021-02-06
RET0000063,ORD0010723,PROD006529,Late Delivery,refunded,2024-04-25
RET0000064,ORD0020766,PROD003277,Damaged Item,refunded,2022-08-10
RET0000065,ORD0069105,PROD003010,Wrong Item,approved,2023-04-18
RET0000066,ORD0071140,PROD001488,Quality Issue,approved,2024-01-14
RET0000067,ORD0037476,PROD003403,Late Delivery,requested,2023-09-15
RET0000068,ORD0099640,PROD005362,Quality Issue,refunded,2022-06-06
RET0000069,ORD0051046,PROD000891,Size Issue,refunded,2023-12-08
RET0000070,ORD0012845,PROD000327,Late Delivery,requested,2022-01-22
RET0000071,ORD0017006,PROD000453,Size Issue,picked_up,2022-08-18
RET0000072,ORD0030021,PROD007901,Size Issue,approved,2021-11-26
RET0000073,ORD0099433,PROD000644,Wrong Item,requested,2023-01-11
RET0000074,ORD0016245,PROD005423,Size Issue,picked_up,2021-05-24
RET0000075,ORD0082246,PROD003864,Wrong Item,approved,2023-03-19
RET0000076,ORD0077329,PROD001111,Damaged Item,approved,2021-02-26
RET0000077,ORD0048429,PROD003765,Changed Mind,requested,2022-02-05
RET0000078,ORD0001446,PROD004740,Quality Issue,picked_up,2023-06-19
RET0000079,ORD0006138,PROD000412,Wrong Item,requested,2022-03-04
RET0000080,ORD0023871,PROD001639,Size Issue,approved,2023-12-02
RET0000081,ORD0026836,PROD007540,Size Issue,requested,2023-03-18
RET0000082,ORD0000427,PROD003491,Changed Mind,requested,2022-03-24
RET0000083,ORD0084013,PROD001149,Changed Mind,refunded,2021-08-20
RET0000084,ORD0066374,PROD000952,Wrong Item,approved,2021-09-10
RET0000085,ORD0003120,PROD000036,Size Issue,approved,2023-06-24
RET0000086,ORD0091499,PROD006768,Late Delivery,refunded,2024-03-10
RET0000087,ORD0079389,PROD000218,Damaged Item,picked_up,2022-02-18
RET0000088,ORD0082068,PROD004459,Wrong Item,refunded,2023-12-31
RET0000089,ORD0010217,PROD003810,Changed Mind,picked_up,2022-08-16
RET0000090,ORD0054934,PROD000752,Damaged Item,refunded,2021-09-29
RET0000091,ORD0087114,PROD006845,Damaged Item,requested,2022-03-08
RET0000092,ORD0114805,PROD006452,Damaged Item,approved,2021-03-01
RET0000093,ORD0113591,PROD007064,Quality Issue,requested,2021-01-31
RET0000094,ORD0020272,PROD001420,Size Issue,refunded,2023-12-26
RET0000095,ORD0078266,PROD000221,Changed Mind,requested,2023-09-02
RET0000096,ORD0091168,PROD004608,Late Delivery,picked_up,2021-04-12
RET0000097,ORD0037902,PROD006751,Changed Mind,approved,2023-06-17
RET0000098,ORD0072917,PROD007811,Quality Issue,refunded,2021-12-24
RET0000099,ORD0075275,PROD004751,Quality Issue,picked_up,2021-05-01
RET0000100,ORD0013852,PROD007644,Quality Issue,approved,2021-07-03
RET0000101,ORD0060222,PROD005027,Size Issue,approved,2022-06-05
RET0000102,ORD0041855,PROD001286,Wrong Item,approved,2021-04-05
RET0000103,ORD0097062,PROD002216,Size Issue,approved,2023-05-30
RET0000104,ORD0072123,PROD001227,Size Issue,requested,2024-02-08
RET0000105,ORD0046792,PROD007378,Changed Mind,refunded,2021-11-07
RET0000106,ORD0074626,PROD001188,Damaged Item,approved,2022-06-11
RET0000107,ORD0005178,PROD006571,Size Issue,picked_up,2023-10-01
RET0000108,ORD0019477,PROD005901,Quality Issue,refunded,2023-09-25
RET0000109,ORD0034054,PROD006095,Damaged Item,requested,2022-02-15
RET0000110,ORD0015583,PROD007490,Late Delivery,picked_up,2022-01-07
RET0000111,ORD0071477,PROD006826,Size Issue,picked_up,2022-02-06
RET0000112,ORD0027217,PROD007854,Wrong Item,refunded,2021-11-22
RET0000113,ORD0039042,PROD004791,Size Issue,refunded,2023-05-16
RET0000114,ORD0070860,PROD000383,Size Issue,requested,2023-04-03
RET0000115,ORD0077574,PROD006108,Changed Mind,approved,2021-09-19
RET0000116,ORD0087844,PROD002448,Size Issue,approved,2023-11-27
RET0000117,ORD0073336,PROD003388,Quality Issue,requested,2022-12-05
RET0000118,ORD0021489,PROD001535,Wrong Item,refunded,2021-12-24
RET0000119,ORD0075337,PROD007863,Quality Issue,approved,2022-03-23
RET0000120,ORD0061372,PROD003834,Wrong Item,refunded,2021-12-30
RET0000121,ORD0096268,PROD003126,Changed Mind,refunded,2021-03-11
RET0000122,ORD0038828,PROD001039,Wrong Item,refunded,2021-04-24
RET0000123,ORD0024863,PROD006419,Late Delivery,requested,2023-08-21
RET0000124,ORD0036005,PROD003306,Late Delivery,refunded,2022-07-02
RET0000125,ORD0033963,PROD007801,Late Delivery,picked_up,2021-08-20
RET0000126,ORD0036342,PROD006475,Quality Issue,refunded,2024-04-17
RET0000127,ORD0025580,PROD004732,Quality Issue,approved,2023-02-07
RET0000128,ORD0049753,PROD006207,Quality Issue,requested,2023-06-06
RET0000129,ORD0075768,PROD003595,Damaged Item,requested,2021-04-29
RET0000130,ORD0050945,PROD004986,Wrong Item,approved,2023-04-06
RET0000131,ORD0099601,PROD006897,Changed Mind,refunded,2023-12-18
RET0000132,ORD0104022,PROD005928,Wrong Item,requested,2022-11-04
RET0000133,ORD0103053,PROD001625,Late Delivery,requested,2021-02-21
RET0000134,ORD0014072,PROD006440,Late Delivery,requested,2023-05-29
RET0000135,ORD0112686,PROD004483,Wrong Item,refunded,2021-06-17
RET0000136,ORD0085321,PROD003262,Quality Issue,approved,2021-08-27
RET0000137,ORD0104671,PROD006055,Wrong Item,requested,2023-12-13
RET0000138,ORD0072237,PROD006474,Quality Issue,picked_up,2021-05-30
RET0000139,ORD0052510,PROD004902,Wrong Item,refunded,2023-12-07
RET0000140,ORD0057039,PROD006366,Quality Issue,requested,2022-07-01
RET0000141,ORD0040333,PROD004158,Quality Issue,refunded,2022-05-12
RET0000142,ORD0096809,PROD006765,Damaged Item,requested,2023-03-29
RET0000143,ORD0069022,PROD002077,Wrong Item,refunded,2022-02-11
RET0000144,ORD0034641,PROD000265,Changed Mind,approved,2023-10-01
RET0000145,ORD0104849,PROD001452,Quality Issue,requested,2023-12-19
RET0000146,ORD0029689,PROD003079,Late Delivery,requested,2023-03-06
RET0000147,ORD0095991,PROD005580,Quality Issue,requested,2021-10-18
RET0000148,ORD0096229,PROD002089,Wrong Item,picked_up,2021-02-03
RET0000149,ORD0044531,PROD007895,Late Delivery,picked_up,2021-05-15
RET0000150,ORD0069897,PROD001488,Size Issue,picked_up,2021-07-01
RET0000151,ORD0051266,PROD006466,Late Delivery,approved,2021-12-15
RET0000152,ORD0063809,PROD000158,Quality Issue,requested,2023-06-18
RET0000153,ORD0075923,PROD007350,Quality Issue,picked_up,2022-08-31
RET0000154,ORD0022551,PROD002200,Late Delivery,requested,2021-06-24
RET0000155,ORD0070839,PROD001090,Size Issue,refunded,2023-01-21
RET0000156,ORD0081196,PROD004553,Wrong Item,requested,2023-10-05
RET0000157,ORD0060783,PROD004129,Quality Issue,requested,2022-11-21
RET0000158,ORD0019425,PROD006838,Size Issue,requested,2024-03-16
RET0000159,ORD0030388,PROD006259,Late Delivery,refunded,2022-03-29
RET0000160,ORD0104446,PROD004311,Changed Mind,picked_up,2022-12-21
RET0000161,ORD0027440,PROD002819,Wrong Item,refunded,2021-03-08
RET0000162,ORD0056418,PROD007851,Damaged Item,requested,2022-01-23
RET0000163,ORD0029884,PROD004370,Damaged Item,requested,2024-03-03
RET0000164,ORD0002832,PROD005289,Damaged Item,picked_up,2021-05-14
RET0000165,ORD0109257,PROD006075,Damaged Item,requested,2022-05-03
RET0000166,ORD0025810,PROD007176,Damaged Item,requested,2021-01-31
RET0000167,ORD0098574,PROD001328,Size Issue,requested,2021-09-20
RET0000168,ORD0103074,PROD005729,Size Issue,requested,2022-07-22
RET0000169,ORD0076801,PROD002649,Wrong Item,requested,2021-11-07
RET0000170,ORD0072410,PROD004025,Changed Mind,requested,2023-12-28
RET0000171,ORD0041757,PROD006862,Late Delivery,picked_up,2022-10-25
RET0000172,ORD0110750,PROD005731,Wrong Item,approved,2022-12-08
RET0000173,ORD0104344,PROD000049,Wrong Item,requested,2021-06-24
RET0000174,ORD0079710,PROD007084,Changed Mind,approved,2023-02-05
RET0000175,ORD0056790,PROD002325,Changed Mind,approved,2022-09-19
RET0000176,ORD0062219,PROD000227,Quality Issue,approved,2022-09-01
RET0000177,ORD0109341,PROD006146,Quality Issue,requested,2023-05-13
RET0000178,ORD0066331,PROD004544,Quality Issue,picked_up,2023-03-19
RET0000179,ORD0017235,PROD002237,Changed Mind,requested,2023-09-08
RET0000180,ORD0080852,PROD003416,Changed Mind,picked_up,2022-10-20
RET0000181,ORD0081848,PROD000867,Size Issue,approved,2021-06-10
RET0000182,ORD0101245,PROD002695,Wrong Item,refunded,2022-05-13
RET0000183,ORD0045135,PROD003820,Wrong Item,refunded,2023-09-30
RET0000184,ORD0053376,PROD005413,Wrong Item,refunded,2021-02-06
RET0000185,ORD0061600,PROD002513,Wrong Item,refunded,2024-04-19
RET0000186,ORD0011474,PROD000970,Size Issue,approved,2023-05-29
RET0000187,ORD0080539,PROD003847,Wrong Item,requested,2021-03-18
RET0000188,ORD0083803,PROD005177,Damaged Item,requested,2023-01-18
RET0000189,ORD0028417,PROD000116,Wrong Item,picked_up,2023-04-22
RET0000190,ORD0085533,PROD003226,Quality Issue,refunded,2022-04-21
RET0000191,ORD0119834,PROD002675,Size Issue,requested,2021-08-03
RET0000192,ORD0049835,PROD000230,Wrong Item,approved,2023-08-16
RET0000193,ORD0112813,PROD005998,Size Issue,refunded,2024-02-10
RET0000194,ORD0106516,PROD006639,Damaged Item,refunded,2022-04-10
RET0000195,ORD0114314,PROD003667,Size Issue,picked_up,2023-04-02
RET0000196,ORD0015811,PROD007409,Late Delivery,approved,2023-07-18
RET0000197,ORD0037154,PROD004361,Quality Issue,approved,2021-10-08
RET0000198,ORD0081379,PROD004821,Quality Issue,picked_up,2022-06-25
RET0000199,ORD0058548,PROD006490,Wrong Item,picked_up,2021-10-13
RET0000200,ORD0107239,PROD006785,Damaged Item,refunded,2022-09-20
RET0000201,ORD0067872,PROD002325,Wrong Item,requested,2022-03-28
RET0000202,ORD0094814,PROD000051,Late Delivery,approved,2022-04-14
RET0000203,ORD0077628,PROD006059,Late Delivery,approved,2022-07-18
RET0000204,ORD0014034,PROD004100,Damaged Item,refunded,2022-10-10
RET0000205,ORD0115431,PROD005506,Size Issue,requested,2023-08-20
RET0000206,ORD0000585,PROD003942,Changed Mind,approved,2023-09-07
RET0000207,ORD0079941,PROD001544,Size Issue,requested,2023-04-13
RET0000208,ORD0013717,PROD005698,Size Issue,refunded,2021-05-29
RET0000209,ORD0073361,PROD001700,Size Issue,requested,2023-09-15
RET0000210,ORD0078093,PROD007321,Wrong Item,requested,2023-08-11
RET0000211,ORD0007428,PROD002150,Changed Mind,refunded,2022-02-14
RET0000212,ORD0106097,PROD007515,Size Issue,approved,2021-12-02
RET0000213,ORD0090487,PROD002867,Size Issue,approved,2022-08-25
RET0000214,ORD0016734,PROD004687,Changed Mind,requested,2022-11-28
RET0000215,ORD0003982,PROD001366,Quality Issue,refunded,2023-05-23
RET0000216,ORD0068232,PROD002053,Changed Mind,approved,2022-12-04
RET0000217,ORD0082203,PROD000830,Wrong Item,requested,2023-10-28
RET0000218,ORD0027999,PROD003937,Size Issue,requested,2021-09-30
RET0000219,ORD0044005,PROD001491,Changed Mind,requested,2023-10-24
RET0000220,ORD0022095,PROD000110,Changed Mind,refunded,2022-03-26
RET0000221,ORD0050598,PROD001056,Damaged Item,picked_up,2021-12-22
RET0000222,ORD0048628,PROD004434,Damaged Item,refunded,2024-03-17
RET0000223,ORD0029454,PROD002271,Damaged Item,requested,2024-01-20
RET0000224,ORD0068168,PROD007990,Quality Issue,picked_up,2023-12-01
RET0000225,ORD0090352,PROD005416,Late Delivery,approved,2021-04-18
RET0000226,ORD0078430,PROD000948,Changed Mind,approved,2021-06-06
RET0000227,ORD0105446,PROD005853,Changed Mind,requested,2021-12-21
RET0000228,ORD0010563,PROD001510,Quality Issue,requested,2021-02-20
RET0000229,ORD0017186,PROD004155,Wrong Item,requested,2021-10-06
RET0000230,ORD0046442,PROD001570,Damaged Item,refunded,2021-08-17
RET0000231,ORD0014559,PROD000995,Damaged Item,refunded,2023-01-23
RET0000232,ORD0055832,PROD006770,Size Issue,requested,2023-01-06
RET0000233,ORD0112160,PROD007598,Wrong Item,picked_up,2021-07-20
RET0000234,ORD0119336,PROD000652,Damaged Item,requested,2024-01-02
RET0000235,ORD0032514,PROD007395,Late Delivery,refunded,2023-08-01
RET0000236,ORD0114669,PROD000979,Wrong Item,approved,2023-01-20
RET0000237,ORD0111062,PROD001264,Changed Mind,refunded,2021-05-05
RET0000238,ORD0071746,PROD004792,Changed Mind,approved,2022-03-16
RET0000239,ORD0051304,PROD004229,Wrong Item,approved,2022-02-05
RET0000240,ORD0010345,PROD003889,Late Delivery,requested,2023-05-02
RET0000241,ORD0092367,PROD003984,Damaged Item,approved,2023-05-28
RET0000242,ORD0039817,PROD004530,Size Issue,refunded,2021-12-02
RET0000243,ORD0046125,PROD005939,Wrong Item,approved,2022-09-15
RET0000244,ORD0009013,PROD005695,Late Delivery,requested,2022-03-28
RET0000245,ORD0042228,PROD004898,Changed Mind,refunded,2023-08-10
RET0000246,ORD0089348,PROD002568,Changed Mind,picked_up,2023-05-31
RET0000247,ORD0101376,PROD003334,Size Issue,refunded,2023-08-11
RET0000248,ORD0083649,PROD001548,Late Delivery,picked_up,2023-09-15
RET0000249,ORD0069348,PROD002510,Wrong Item,requested,2022-05-19
RET0000250,ORD0042679,PROD002690,Size Issue,refunded,2023-08-17
RET0000251,ORD0034839,PROD003459,Wrong Item,approved,2022-10-12
RET0000252,ORD0100840,PROD001088,Late Delivery,requested,2022-11-01
RET0000253,ORD0006706,PROD000332,Wrong Item,requested,2021-11-10
RET0000254,ORD0086707,PROD001850,Late Delivery,approved,2023-06-25
RET0000255,ORD0056626,PROD007552,Size Issue,refunded,2024-01-14
RET0000256,ORD0078065,PROD002567,Damaged Item,approved,2022-03-01
RET0000257,ORD0072727,PROD007815,Wrong Item,approved,2021-10-14
RET0000258,ORD0086132,PROD007979,Size Issue,requested,2024-04-29
RET0000259,ORD0099418,PROD000823,Damaged Item,picked_up,2021-02-19
RET0000260,ORD0091907,PROD005559,Late Delivery,requested,2023-05-15
RET0000261,ORD0104494,PROD001263,Damaged Item,requested,2022-08-28
RET0000262,ORD0009839,PROD007951,Quality Issue,requested,2022-01-03
RET0000263,ORD0060736,PROD004758,Damaged Item,approved,2022-02-19
RET0000264,ORD0004341,PROD001514,Late Delivery,picked_up,2022-02-16
RET0000265,ORD0061825,PROD000885,Damaged Item,approved,2022-04-25
RET0000266,ORD0102997,PROD007185,Damaged Item,picked_up,2024-04-27
RET0000267,ORD0016316,PROD002015,Damaged Item,approved,2023-01-27
RET0000268,ORD0025440,PROD005795,Size Issue,refunded,2024-01-07
RET0000269,ORD0007019,PROD001767,Quality Issue,requested,2023-10-23
RET0000270,ORD0106875,PROD003353,Size Issue,approved,2023-07-07
RET0000271,ORD0111154,PROD004060,Late Delivery,requested,2023-10-17
RET0000272,ORD0037881,PROD002556,Wrong Item,requested,2022-09-28
RET0000273,ORD0095276,PROD005985,Size Issue,refunded,2024-02-16
RET0000274,ORD0057659,PROD002339,Changed Mind,refunded,2023-07-09
RET0000275,ORD0096653,PROD004636,Wrong Item,approved,2024-02-04
RET0000276,ORD0110804,PROD004789,Quality Issue,requested,2021-06-16
RET0000277,ORD0034828,PROD003732,Changed Mind,requested,2023-06-22
RET0000278,ORD0066639,PROD006503,Late Delivery,approved,2023-01-01
RET0000279,ORD0030868,PROD003269,Changed Mind,approved,2023-06-03
RET0000280,ORD0114012,PROD001759,Wrong Item,requested,2024-02-01
RET0000281,ORD0020810,PROD006396,Damaged Item,requested,2022-07-20
RET0000282,ORD0075783,PROD002907,Size Issue,approved,2023-12-29
RET0000283,ORD0104790,PROD007055,Late Delivery,requested,2023-11-07
RET0000284,ORD0102300,PROD001408,Late Delivery,approved,2023-12-28
RET0000285,ORD0087854,PROD007479,Wrong Item,refunded,2022-09-14
RET0000286,ORD0008781,PROD003085,Wrong Item,refunded,2024-05-03
RET0000287,ORD0019439,PROD006231,Changed Mind,requested,2021-09-11
RET0000288,ORD0063369,PROD007443,Damaged Item,approved,2023-06-19
RET0000289,ORD0040980,PROD007850,Late Delivery,approved,2023-05-30
RET0000290,ORD0046862,PROD005625,Size Issue,picked_up,2022-12-05
RET0000291,ORD0024647,PROD003660,Changed Mind,picked_up,2022-01-27
RET0000292,ORD0054529,PROD005995,Wrong Item,refunded,2021-11-12
RET0000293,ORD0071536,PROD006498,Quality Issue,picked_up,2022-11-10
RET0000294,ORD0108698,PROD006940,Wrong Item,picked_up,2022-09-19
RET0000295,ORD0022471,PROD002500,Damaged Item,approved,2024-03-28
RET0000296,ORD0098322,PROD006697,Quality Issue,picked_up,2023-08-21
RET0000297,ORD0053131,PROD004255,Damaged Item,approved,2023-04-08
RET0000298,ORD0112317,PROD002496,Quality Issue,refunded,2022-01-12
RET0000299,ORD0005004,PROD002518,Wrong Item,requested,2022-12-30
RET0000300,ORD0000169,PROD006821,Quality Issue,picked_up,2022-09-03
RET0000301,ORD0045045,PROD007542,Size Issue,picked_up,2024-01-20
RET0000302,ORD0052861,PROD004606,Changed Mind,picked_up,2022-03-20
RET0000303,ORD0011339,PROD000408,Wrong Item,picked_up,2023-12-02
RET0000304,ORD0037153,PROD001332,Wrong Item,approved,2023-12-19
RET0000305,ORD0004757,PROD005279,Late Delivery,picked_up,2023-08-22
RET0000306,ORD0041663,PROD003570,Quality Issue,refunded,2022-03-08
RET0000307,ORD0064335,PROD004018,Late Delivery,approved,2022-08-10
RET0000308,ORD0077003,PROD004434,Size Issue,requested,2024-03-05
RET0000309,ORD0012076,PROD006950,Quality Issue,requested,2022-10-25
RET0000310,ORD0003059,PROD000166,Damaged Item,approved,2021-01-31
RET0000311,ORD0086244,PROD003565,Size Issue,refunded,2023-06-08
RET0000312,ORD0045304,PROD002189,Quality Issue,refunded,2022-03-05
RET0000313,ORD0047002,PROD006124,Size Issue,requested,2021-12-04
RET0000314,ORD0090409,PROD005257,Changed Mind,requested,2023-05-15
RET0000315,ORD0087520,PROD007657,Wrong Item,requested,2023-10-09
RET0000316,ORD0038008,PROD005069,Wrong Item,picked_up,2021-12-03
RET0000317,ORD0015911,PROD000669,Late Delivery,refunded,2022-12-01
RET0000318,ORD0048458,PROD001712,Quality Issue,approved,2021-11-22
RET0000319,ORD0000801,PROD000993,Size Issue,requested,2022-07-17
RET0000320,ORD0018879,PROD003419,Late Delivery,requested,2022-03-12
RET0000321,ORD0118522,PROD007399,Changed Mind,picked_up,2023-09-19
RET0000322,ORD0098648,PROD002029,Quality Issue,refunded,2022-08-22
RET0000323,ORD0036693,PROD007830,Late Delivery,picked_up,2022-05-09
RET0000324,ORD0035594,PROD000418,Wrong Item,refunded,2021-03-20
RET0000325,ORD0113815,PROD007709,Quality Issue,approved,2023-11-17
RET0000326,ORD0068430,PROD005209,Damaged Item,picked_up,2021-07-11
RET0000327,ORD0051294,PROD001897,Size Issue,refunded,2023-11-06
RET0000328,ORD0097617,PROD003515,Wrong Item,refunded,2022-10-31
RET0000329,ORD0068427,PROD004886,Wrong Item,approved,2024-03-17
RET0000330,ORD0006521,PROD003229,Size Issue,refunded,2022-04-16
RET0000331,ORD0057153,PROD004119,Late Delivery,approved,2024-04-04
RET0000332,ORD0092142,PROD004923,Quality Issue,requested,2021-11-21
RET0000333,ORD0081938,PROD005892,Damaged Item,picked_up,2021-11-02
RET0000334,ORD0003737,PROD003988,Changed Mind,requested,2023-09-09
RET0000335,ORD0067004,PROD000287,Late Delivery,approved,2022-04-21
RET0000336,ORD0020300,PROD004794,Late Delivery,refunded,2024-04-28
RET0000337,ORD0058443,PROD006184,Quality Issue,refunded,2022-01-07
RET0000338,ORD0100162,PROD006070,Damaged Item,picked_up,2022-01-28
RET0000339,ORD0033843,PROD001074,Changed Mind,requested,2022-06-11
RET0000340,ORD0007155,PROD006827,Damaged Item,refunded,2022-04-14
RET0000341,ORD0094658,PROD005023,Size Issue,approved,2023-06-12
RET0000342,ORD0023388,PROD000255,Wrong Item,approved,2021-12-23
RET0000343,ORD0059446,PROD001629,Size Issue,requested,2023-06-03
RET0000344,ORD0015605,PROD003035,Wrong Item,approved,2023-03-23
RET0000345,ORD0000199,PROD001374,Damaged Item,requested,2022-12-15
RET0000346,ORD0012399,PROD006387,Damaged Item,picked_up,2021-02-14
RET0000347,ORD0018570,PROD007917,Wrong Item,approved,2024-01-19
RET0000348,ORD0077313,PROD002449,Wrong Item,approved,2024-04-27
RET0000349,ORD0029723,PROD003294,Size Issue,picked_up,2024-01-30
RET0000350,ORD0041736,PROD007706,Wrong Item,refunded,2021-08-25
RET0000351,ORD0051317,PROD001253,Size Issue,picked_up,2023-12-18
RET0000352,ORD0024761,PROD000303,Damaged Item,requested,2023-12-22
RET0000353,ORD0019728,PROD006388,Wrong Item,requested,2022-10-27
RET0000354,ORD0111014,PROD001040,Wrong Item,requested,2021-11-19
RET0000355,ORD0052847,PROD007969,Damaged Item,requested,2023-03-28
RET0000356,ORD0028198,PROD005945,Changed Mind,approved,2022-03-04
RET0000357,ORD0047977,PROD004506,Changed Mind,picked_up,2022-05-01
RET0000358,ORD0060301,PROD001919,Damaged Item,picked_up,2023-01-04
RET0000359,ORD0095855,PROD001937,Changed Mind,refunded,2022-05-11
RET0000360,ORD0022873,PROD004468,Quality Issue,approved,2023-05-04
RET0000361,ORD0048974,PROD000429,Quality Issue,requested,2021-07-10
RET0000362,ORD0103531,PROD005368,Late Delivery,requested,2021-10-23
RET0000363,ORD0039775,PROD001963,Late Delivery,refunded,2021-03-25
RET0000364,ORD0077937,PROD002839,Quality Issue,refunded,2021-08-18
RET0000365,ORD0026460,PROD003652,Size Issue,requested,2022-05-19
RET0000366,ORD0016023,PROD004302,Damaged Item,approved,2022-07-22
RET0000367,ORD0034437,PROD007233,Late Delivery,approved,2022-06-14
RET0000368,ORD0055817,PROD006103,Changed Mind,refunded,2022-01-07
RET0000369,ORD0095274,PROD002182,Wrong Item,requested,2022-02-22
RET0000370,ORD0085955,PROD004523,Damaged Item,requested,2023-01-15
RET0000371,ORD0061726,PROD000387,Wrong Item,refunded,2022-04-02
RET0000372,ORD0097590,PROD006969,Changed Mind,approved,2022-11-05
RET0000373,ORD0043726,PROD004234,Quality Issue,refunded,2023-10-06
RET0000374,ORD0053912,PROD002211,Late Delivery,picked_up,2021-10-18
RET0000375,ORD0111029,PROD006518,Damaged Item,approved,2021-05-04
RET0000376,ORD0108773,PROD001400,Late Delivery,picked_up,2021-05-26
RET0000377,ORD0087135,PROD003818,Changed Mind,approved,2021-05-21
RET0000378,ORD0095795,PROD006925,Quality Issue,picked_up,2022-02-24
RET0000379,ORD0010267,PROD000668,Late Delivery,refunded,2021-02-20
RET0000380,ORD0093967,PROD007310,Size Issue,requested,2022-07-08
RET0000381,ORD0032616,PROD006315,Late Delivery,requested,2023-03-29
RET0000382,ORD0043586,PROD000896,Damaged Item,refunded,2023-12-27
