product_id,category_id,brand_name,product_name,mrp,cost_price,weight_g,length_cm,height_cm,width_cm,launch_month,selling_price,product_rating_avg
PROD000106,CAT018,Philips,Product_000106,8917.73,6137.04,841,39.4,10.8,7.1,1,7746.17,4.8
PROD000107,CAT008,Fastrack,Product_000107,1867.64,1505.59,628,80.0,13.9,15.9,11,1706.85,3.3
PROD000108,CAT038,Bajaj,Product_000108,5356.91,2802.52,2795,30.2,47.7,9.4,7,4005.54,2.9
PROD000109,CAT034,Crompton,Product_000109,3763.17,2381.57,2916,11.3,25.1,28.9,12,3071.18,4.2
PROD000110,CAT035,Red Tape,Product_000110,5378.74,3734.67,4057,44.3,47.9,56.9,2,4290.18,4.6
PROD000111,CAT014,Airtel,Product_000111,4771.78,3432.82,1304,29.1,26.3,41.0,5,4350.77,4.2
PROD000112,CAT013,Hp,Product_000112,3072.34,1745.41,5127,70.8,48.1,42.9,6,2540.37,3.4
PROD000113,CAT035,Adidas,Product_000113,2248.86,1496.12,1774,20.8,53.9,49.0,1,1740.66,4.2
PROD000114,CAT022,Philips,Product_000114,12230.28,8227.61,3220,69.2,27.9,17.4,10,9272.99,3.2
PROD000115,CAT029,Philips,Product_000115,1389.53,812.68,4767,54.8,59.2,36.1,12,1014.69,3.6
PROD000116,CAT020,Oneplus,Product_000116,8871.93,6506.47,2927,19.1,56.1,43.9,3,7616.61,2.7
PROD000117,CAT018,Samsung,Product_000117,5573.37,3418.31,4169,35.4,2.9,21.0,11,4433.84,3.2
PROD000118,CAT026,Nike,Product_000118,4657.2,3398.88,4145,41.9,34.7,25.7,12,4162.06,3.7
PROD000119,CAT033,Fastrack,Product_000119,5065.07,3026.78,4366,44.1,40.1,43.3,5,4066.51,2.7
PROD000120,CAT014,Patanjali,Product_000120,2202.24,1466.92,4480,34.8,50.9,49.3,9,1882.66,4.2
PROD000121,CAT033,Wild Stone,Product_000121,5310.71,4504.58,2219,48.8,41.1,24.3,6,5048.04,3.4
PROD000122,CAT010,Mi,Product_000122,11117.58,5617.07,2063,58.8,41.9,39.0,4,8317.44,3.7
PROD000123,CAT017,Adidas,Product_000123,2134.14,1364.26,4439,43.0,18.8,41.2,4,1628.45,3.6
PROD000124,CAT037,Crompton,Product_000124,3647.55,2411.5,3230,50.2,49.6,56.0,3,3207.34,4.1
PROD000125,CAT039,Adidas,Product_000125,2586.19,1458.0,3382,69.5,5.7,48.1,12,1798.45,4.0
PROD000126,CAT037,Adidas,Product_000126,14472.01,7004.32,2324,42.3,40.1,14.9,1,10725.35,4.1
PROD000127,CAT013,Nike,Product_000127,2094.24,1450.36,1189,36.2,13.7,39.0,6,1828.81,3.0
PROD000128,CAT034,Boat,Product_000128,3225.42,2275.09,2567,23.6,46.4,57.6,11,2715.79,3.9
PROD000129,CAT038,Wild Stone,Product_000129,3158.05,1864.35,5336,14.9,47.8,25.2,7,2419.26,3.7
PROD000130,CAT040,Fastrack,Product_000130,5729.73,3619.47,1671,26.9,12.1,46.9,1,4025.66,2.7
PROD000131,CAT001,Samsung,Product_000131,4010.06,2990.67,1569,35.5,48.0,34.2,5,3513.35,2.6
PROD000132,CAT030,Adidas,Product_000132,2262.66,1355.05,806,62.3,50.6,28.5,8,1909.16,3.8
PROD000133,CAT040,Bajaj,Product_000133,9383.47,6563.6,2698,21.3,5.1,35.9,2,7508.72,3.8
PROD000134,CAT031,Tata,Product_000134,11659.56,8505.31,1658,57.7,26.9,27.8,10,10705.29,4.3
PROD000135,CAT010,Red Tape,Product_000135,6614.88,4727.41,3810,10.9,13.2,21.8,8,5621.53,4.3
PROD000136,CAT031,Adidas,Product_000136,8277.63,4939.06,830,16.9,9.3,46.6,4,7243.14,3.5
PROD000137,CAT005,Lakme,Product_000137,5891.23,3450.2,1435,29.5,48.6,33.8,10,4701.58,3.5
PROD000138,CAT020,Fastrack,Product_000138,5465.41,3532.84,434,40.2,19.0,56.4,5,4114.98,3.4
PROD000139,CAT026,Tata,Product_000139,2277.81,1822.78,324,18.6,39.4,4.5,5,2088.22,4.7
PROD000140,CAT019,Dell,Product_000140,5207.13,2860.98,4496,13.4,2.2,47.1,4,4649.97,4.1
PROD000141,CAT028,Tata,Product_000141,1782.88,1017.72,4992,47.4,6.6,12.8,5,1411.16,3.3
PROD000142,CAT010,Adidas,Product_000142,7816.5,5943.93,4225,35.9,37.4,46.6,10,7126.2,4.1
PROD000143,CAT025,Boat,Product_000143,3388.24,2370.38,4772,36.2,23.5,52.7,1,2879.67,3.7
PROD000144,CAT026,Lakme,Product_000144,6691.58,4529.41,568,28.1,53.0,47.9,12,5294.54,3.8
PROD000145,CAT026,Wild Stone,Product_000145,4633.99,2976.06,4950,32.8,6.8,37.3,10,3621.32,4.6
PROD000146,CAT012,Nike,Product_000146,2255.21,1848.83,2617,18.8,38.2,10.9,12,2091.13,3.9
PROD000147,CAT013,Philips,Product_000147,3362.62,1930.31,4251,25.3,42.8,57.8,8,2575.54,4.6
PROD000148,CAT011,Nike,Product_000148,6316.9,4104.07,3425,45.7,37.5,22.3,1,4978.04,3.7
PROD000149,CAT019,Oneplus,Product_000149,2342.96,1455.65,1989,44.2,41.5,5.6,10,1848.94,4.3
PROD000150,CAT024,Red Tape,Product_000150,1808.01,1341.05,1530,72.9,16.5,4.1,9,1569.74,3.7
PROD000151,CAT015,Boat,Product_000151,2780.37,1761.73,738,67.4,46.5,45.4,6,2173.62,3.8
PROD000152,CAT017,Crompton,Product_000152,6796.55,3378.84,2328,5.5,34.2,50.6,8,5357.99,3.5
PROD000153,CAT012,Boat,Product_000153,1334.94,856.43,2768,22.2,47.7,49.0,5,953.93,4.0
PROD000154,CAT009,Patanjali,Product_000154,1527.19,881.48,5409,71.6,9.1,35.3,12,1241.35,2.7
PROD000155,CAT027,Fastrack,Product_000155,12217.56,7684.26,301,28.6,9.4,39.4,11,10034.59,4.1
PROD000156,CAT033,Airtel,Product_000156,4833.32,3144.12,3287,40.8,24.9,54.8,7,3804.53,3.7
PROD000157,CAT012,Crompton,Product_000157,9929.48,5613.43,2935,55.6,24.6,41.2,12,7356.38,4.2
PROD000158,CAT035,Tata,Product_000158,5827.26,3968.44,224,45.8,9.5,23.7,6,4762.52,2.5
PROD000159,CAT023,Red Tape,Product_000159,11415.46,7517.93,1881,5.4,6.7,57.2,3,8831.29,3.2
PROD000160,CAT007,Wild Stone,Product_000160,1904.86,1098.23,2384,20.5,6.7,58.1,6,1317.78,3.8
PROD000161,CAT015,Hp,Product_000161,2331.56,1244.33,2769,12.5,5.0,39.2,12,1831.14,3.6
PROD000162,CAT001,Crompton,Product_000162,5080.41,3483.5,1361,17.6,3.9,35.7,11,4688.04,2.8
PROD000163,CAT002,Tata,Product_000163,4351.79,2613.69,284,16.1,48.8,56.5,1,3330.26,2.6
PROD000164,CAT014,Dell,Product_000164,12502.24,7176.88,1687,51.7,56.2,47.6,9,9355.46,3.4
PROD000165,CAT019,Patanjali,Product_000165,12704.31,7662.03,4616,35.5,26.7,10.6,10,11466.76,3.5
PROD000166,CAT032,Boat,Product_000166,8555.2,5811.39,4462,10.0,12.8,57.7,1,7780.02,3.4
PROD000167,CAT006,Wild Stone,Product_000167,7400.53,4615.55,1076,11.2,21.0,44.6,7,6036.79,4.7
PROD000168,CAT034,Airtel,Product_000168,4312.37,3076.35,3590,76.3,49.5,45.4,12,3639.78,3.0
PROD000169,CAT010,Lakme,Product_000169,6092.25,3683.12,5088,16.6,55.9,26.5,5,4988.67,4.1
PROD000170,CAT006,Tata,Product_000170,6840.76,3311.98,1029,24.0,15.8,4.5,9,5305.33,2.9
PROD000171,CAT028,Mi,Product_000171,4889.79,2744.39,795,48.1,3.8,19.2,5,3677.88,2.6
PROD000172,CAT031,Philips,Product_000172,1285.33,931.15,220,19.0,19.9,22.5,2,1093.69,3.9
PROD000173,CAT025,Wild Stone,Product_000173,8533.22,5201.86,1031,19.8,24.4,29.5,5,6743.6,4.4
PROD000174,CAT005,Oneplus,Product_000174,4311.53,2704.46,4495,10.4,2.2,43.3,6,3887.62,3.3
PROD000175,CAT005,Tata,Product_000175,3028.49,2192.59,4496,78.6,41.5,29.2,6,2502.13,3.7
PROD000176,CAT016,Dell,Product_000176,1571.21,961.72,3018,50.5,9.2,24.8,4,1487.13,3.9
PROD000177,CAT019,Crompton,Product_000177,2739.19,1591.95,1901,44.7,6.7,17.9,12,2280.52,4.0
PROD000178,CAT040,Bajaj,Product_000178,2582.03,1555.56,4457,71.7,43.7,47.0,8,2127.58,3.9
PROD000179,CAT012,Patanjali,Product_000179,2349.49,1518.81,1153,49.6,46.7,48.1,8,1849.07,4.6
PROD000180,CAT008,Wild Stone,Product_000180,7096.34,4849.62,855,24.7,12.7,24.3,7,5700.58,2.9
PROD000181,CAT038,Nike,Product_000181,2020.22,1077.84,582,40.4,46.6,16.2,5,1745.3,4.2
PROD000182,CAT007,Mi,Product_000182,12620.63,10051.33,4697,40.8,19.3,16.3,12,12000.0,4.7
PROD000183,CAT002,Adidas,Product_000183,2216.21,1667.62,3960,34.9,19.9,41.1,5,2043.26,3.3
PROD000184,CAT017,Airtel,Product_000184,5820.49,3766.61,3473,61.5,9.1,47.3,1,4337.44,4.3
PROD000185,CAT017,Lakme,Product_000185,1555.91,857.34,4028,13.2,15.1,48.0,6,1171.16,3.9
PROD000186,CAT025,Lakme,Product_000186,6799.84,4459.76,875,16.9,4.2,52.8,6,5125.38,3.1
PROD000187,CAT036,Nike,Product_000187,2665.34,1935.39,2178,32.9,41.0,46.3,5,2322.68,3.4
PROD000188,CAT038,Fastrack,Product_000188,3625.48,2112.49,4496,10.3,51.4,31.2,3,3215.06,4.5
PROD000189,CAT012,Samsung,Product_000189,2143.37,1259.9,5051,79.1,4.8,19.0,6,1814.99,3.6
PROD000190,CAT040,Oneplus,Product_000190,9447.26,6620.66,2871,42.2,16.8,24.9,1,7515.83,3.2
PROD000191,CAT026,Boat,Product_000191,13281.63,8947.24,759,8.8,22.1,19.9,5,11478.89,4.8
PROD000192,CAT003,Fastrack,Product_000192,3142.94,2236.76,5384,50.6,24.8,9.6,10,2936.81,3.2
PROD000193,CAT038,Mi,Product_000193,6829.32,3805.85,2233,63.6,49.8,12.1,9,4627.13,2.6
PROD000194,CAT006,Crompton,Product_000194,5547.82,3126.77,1823,35.6,4.5,4.7,10,4411.43,3.0
PROD000195,CAT024,Tata,Product_000195,416.46,259.87,748,41.0,37.6,15.0,2,367.49,4.7
PROD000196,CAT032,Lakme,Product_000196,11445.52,8550.75,168,57.5,32.9,50.8,12,9775.49,3.2
PROD000197,CAT010,Red Tape,Product_000197,6652.71,5084.63,3360,22.5,50.6,34.1,3,5896.87,4.5
PROD000198,CAT011,Boat,Product_000198,10272.71,7325.31,3407,49.8,19.7,25.8,8,8952.42,4.5
PROD000199,CAT020,Adidas,Product_000199,5825.76,4584.09,1365,52.3,7.9,17.3,12,5301.51,2.5
PROD000200,CAT036,Bajaj,Product_000200,3094.74,1572.98,975,65.3,9.6,37.0,4,2480.45,4.2
PROD000201,CAT009,Patanjali,Product_000201,5373.44,3679.87,2951,71.8,38.6,58.5,2,4448.25,3.7
PROD000202,CAT027,Airtel,Product_000202,1612.42,1268.1,2451,75.6,33.7,23.5,5,1425.33,3.9
PROD000203,CAT019,Crompton,Product_000203,2810.45,1420.51,1740,14.5,36.4,51.5,1,2310.92,3.5
PROD000204,CAT005,Dell,Product_000204,10230.04,5695.84,1278,66.2,10.0,56.6,8,8540.6,2.8
PROD000205,CAT029,Samsung,Product_000205,2546.55,1758.66,4740,55.7,4.5,48.1,10,2190.17,2.8
PROD000206,CAT034,Adidas,Product_000206,15465.51,10058.29,5413,32.8,34.9,37.1,8,12000.0,2.6
PROD000207,CAT024,Hp,Product_000207,13270.07,7504.79,2020,74.2,6.7,20.9,3,9926.78,3.1
PROD000208,CAT008,Bajaj,Product_000208,10119.28,5815.75,3870,69.5,55.9,5.9,1,9290.55,4.0
PROD000209,CAT007,Tata,Product_000209,11121.61,5753.61,4774,63.1,48.6,45.2,4,8456.38,3.1
PROD000210,CAT017,Bajaj,Product_000210,4282.7,2367.12,245,9.3,12.4,57.5,11,3395.09,3.4
PROD000211,CAT021,Crompton,Product_000211,3388.48,2163.82,5004,18.3,36.7,42.6,5,2727.82,3.9
PROD000212,CAT023,Boat,Product_000212,6819.31,3775.27,2795,73.9,9.7,6.0,12,5421.76,4.0
PROD000213,CAT010,Airtel,Product_000213,7078.28,5257.46,3106,78.7,56.3,11.8,12,6089.94,4.5
PROD000214,CAT021,Adidas,Product_000214,9942.33,6885.4,3015,25.8,36.2,26.0,10,8621.72,3.3
PROD000215,CAT012,Oneplus,Product_000215,981.42,765.65,1412,25.8,20.4,59.4,3,933.18,4.2
PROD000216,CAT028,Mi,Product_000216,1484.79,667.02,4324,50.8,41.5,8.8,3,1104.21,3.3
PROD000217,CAT032,Tata,Product_000217,4088.75,2417.02,4055,10.7,2.1,21.8,2,3318.92,4.1
PROD000218,CAT027,Fastrack,Product_000218,4631.24,2750.76,617,49.6,18.7,34.9,5,3955.96,4.6
PROD000219,CAT001,Bajaj,Product_000219,13111.89,9247.35,3139,77.7,15.6,10.3,6,10808.31,3.3
PROD000220,CAT040,Red Tape,Product_000220,6792.84,5667.28,5268,27.3,22.1,10.6,9,6395.32,3.6
PROD000221,CAT001,Mi,Product_000221,1224.64,807.84,4804,60.7,6.9,7.8,1,1111.19,3.1
PROD000222,CAT040,Dell,Product_000222,6986.79,5037.68,3480,44.4,58.1,32.2,4,5648.14,3.7
PROD000223,CAT002,Fastrack,Product_000223,1544.15,1237.24,1173,26.5,29.1,20.0,5,1400.49,3.7
PROD000224,CAT021,Mi,Product_000224,1606.74,806.26,1975,35.9,51.7,6.2,5,1334.19,4.4
PROD000225,CAT005,Airtel,Product_000225,2602.35,1411.77,912,46.3,5.5,32.1,7,2023.41,4.3
PROD000226,CAT004,Mi,Product_000226,5857.03,3908.12,4538,62.1,51.0,44.9,9,4694.55,3.5
PROD000227,CAT028,Dell,Product_000227,7245.1,4169.06,4305,45.6,39.9,41.5,12,5888.26,2.9
PROD000228,CAT030,Philips,Product_000228,2971.28,2011.23,5016,74.4,41.4,42.3,1,2295.17,3.1
PROD000229,CAT005,Nike,Product_000229,4661.71,2898.28,442,13.8,48.8,34.8,3,4354.79,3.7
PROD000230,CAT040,Wild Stone,Product_000230,13514.44,9015.25,5309,76.8,32.5,47.7,2,10749.07,4.7
PROD000231,CAT013,Red Tape,Product_000231,4233.39,2211.0,5319,46.3,38.8,7.5,4,3347.41,4.1
PROD000232,CAT013,Bajaj,Product_000232,3181.06,1851.34,3742,34.4,54.2,14.7,1,2808.76,3.1
PROD000233,CAT012,Bajaj,Product_000233,3468.76,2295.6,4861,10.7,9.3,43.4,5,3128.69,4.8
PROD000234,CAT019,Boat,Product_000234,3228.9,2560.39,2468,27.2,5.2,22.8,4,2898.07,4.4
PROD000235,CAT008,Hp,Product_000235,5128.19,3585.23,1792,37.8,59.0,17.4,7,4622.31,3.5
PROD000236,CAT017,Boat,Product_000236,1098.66,719.47,934,75.3,53.1,5.5,6,910.14,4.1
PROD000237,CAT009,Wild Stone,Product_000237,6558.92,3625.69,271,61.7,31.8,52.6,8,6013.56,2.8
PROD000238,CAT003,Hp,Product_000238,6020.43,2976.88,327,9.4,47.3,50.9,11,4824.89,4.8
PROD000239,CAT015,Nike,Product_000239,3589.5,2058.0,3834,29.6,53.2,7.4,2,3318.93,2.9
PROD000240,CAT027,Wild Stone,Product_000240,4264.0,3408.94,1918,41.9,29.1,21.0,3,4029.99,4.5
